idiom	alts
chip_off_the_old_block	"[""chip of the old block"", ""chip off the block""]"
chip_on_one's_shoulder	[]
chump-change	[]
circle_the_wagons	[]
cities_and_counties	[]
city_and_county	[]
clean_up_one's_act	[]
clear_one's_lines	[]
clear_the_decks	[]
clock_is_ticking	"[""clock is running""]"
close_one's_eyes	[]
close_to_the_wind	[]
cold_hard_cash	[]
collect_one's_thoughts	"[""gather one's thoughts""]"
come_a_cropper	[]
come_a_long_way	[]
come_down_to_us	[]
come_down_with	[]
come_full_circle	[]
come_hell_or_high_water	[]
come_home_to_roost	"[""the chickens come home to roost""]"
come_in_from_the_cold	[]
come_into_being	[]
come_into_one's_own	[]
come_out_of_one's_shell	[]
come_out_of_the_closet	[]
come_out_of_the_woodwork	"[""crawl out of the woodwork""]"
come_out_swinging	[]
come_thick_and_fast	[]
come_to_a_close	[]
come_to_a_head	"[""bring something to a head""]"
come_to_an_end	[]
come_to_grips_with	[]
come_to_nothing	[]
come_to_one's_senses	[]
come_to_someone's_aid	[]
come_to_someone's_rescue	[]
come_to_terms_with	[]
come_to_the_fore	[]
come_to_the_party	[]
come_to_think_of_it	[]
come_with_the_territory	"[""go with the territory""]"
come-to-jesus	[]
comedy_of_errors	[]
comfortable_in_one's_own_skin	"[""comfortable in one's skin""]"
comfortably_off	[]
coming_out_of_one's_ears	[]
command_performance	[]
concrete_jungle	[]
controlled_substance	[]
cook_the_books	[]
cookie-cutter	[]
cool_one's_heels	[]
cop-out	"[""copout""]"
corner_the_market	[]
corporate_ladder	[]
cost_the_earth	[]
cotton-picking	"[""cotton-pickin'""]"
could_care_less	[]
count_one's_blessings	[]
courage_of_one's_convictions	[]
cradle-to-grave	[]
crash_and_burn	[]
cream_of_the_crop	[]
creature_feature	[]
creme_de_la_creme	"[""cr\u00e8me de la cr\u00e8me""]"
crony_capitalism	[]
cross_someone's_path	[]
cross_the_line	[]
crowd-pleaser	[]
crunch_numbers	[]
crème_de_la_crème	"[""creme de la creme""]"
culpable_homicide	[]
curtain-raiser	"[""curtain raiser""]"
cut_and_thrust	[]
cut_from_the_same_cloth	"[""cut of the same cloth"", ""cut out of the same cloth""]"
cut_one's_teeth	[]
cut_the_mustard	[]
cut_the_umbilical_cord	[]
cut_to_the_chase	[]
date_with_destiny	[]
day_in,_day_out	[]
day-to-day	"[""day to day""]"
daylight_robbery	[]
dead_and_buried	[]
dead_cat_bounce	[]
dead_in_the_water	[]
deafening_silence	[]
deer_in_the_headlights	[]
definitive_agreement	[]
deliver_the_goods	[]
detective_work	[]
devil_is_in_the_details	[]
devil's_advocate	[]
diamond_in_the_rough	"[""rough diamond""]"
dig_in_one's_heels	[]
diminishing_returns	[]
dirt-poor	"[""dirt poor""]"
dismal_science	[]
do_one's_business	[]
do_one's_thing	[]
do_someone_proud	[]
do_the_hard_yards	[]
do_the_honours	"[""do the honors""]"
do_the_right_thing	[]
do-or-die	"[""do or die""]"
dog_and_pony_show	"[""dog-and-pony show""]"
dog's_breakfast	[]
don't_get_me_started	[]
don't_go_there	[]
don't_hold_your_breath	[]
done_and_dusted	[]
donkey's_years	[]
doom_and_gloom	"[""doom-and-gloom""]"
double_entendre	[]
double-edged_sword	[]
down_for_the_count	[]
